ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
187,Swedish,swed1254,Swedish,swe,Eurasia,59.800634,17.389526,Indo-European,Erik V. Gunnemark;Laila Kollmann,Mackayla Infante-Wong,Jan-Åke Alvarsson,StandardOrth,Ruotsi;Svenska,2007-09-20
188,Old English,olde1238,Old English (ca. 450-1100),ang,Eurasia,51.06,-1.31,Indo-European,Christopher M. Kuipers,Mackayla Infante-Wong;Christopher M. Kuipers,,StandardOrth,English (Old),2007-09-20
189,Middle English,midd1317,Middle English,enm,Eurasia,51.65,-1.11,Indo-European,Mona Logarbo,Mackayla Infante-Wong,,StandardOrth,English (Middle),2007-09-20
190,English,stan1293,English,eng,Eurasia,53.0,-1.0,Indo-European,various,Stephan Schuetze-Coburn,,StandardOrth,,2007-09-20
191,Dutch,dutc1256,Dutch,nld,Eurasia,52.0,5.0,Indo-European,Bernard Bichakjian;Hendrikje Hettema,Jessica Ellis,,StandardOrth,Hollands;Nederlands,2007-09-20
192,Old High German,oldh1241,Old High German (ca. 750-1050),goh,Eurasia,52.0,10.0,Indo-European,Vincent Miller,Vincent Miller;Mackayla Infante-Wong,,StandardOrth,German (Old High),2007-09-20
193,Middle High German,midd1343,Middle High German,gmh,Eurasia,48.254,10.599,Indo-European,William C. Crossgrove,Mackayla Infante-Wong;William C. Crossgrove,,StandardOrth,German (Middle High),2007-09-20
194,German,stan1295,German,deu,Eurasia,48.649,12.4676,Indo-European,Meredith Lee,Mary Ritchie Key,,StandardOrth,Deutsch,2014-01-25
195,Yiddish,east2295,Eastern Yiddish,ydd,Eurasia,51.75,19.42,Indo-European,Paul Glasser,Mackayla Infante-Wong,,Phonemic,Jiddisch;Judeo-German,2007-09-20
196,Lithuanian,lith1251,Lithuanian,lit,Eurasia,55.1429,23.9601,Indo-European,Ramutė Plioplys,Mackayla Infante-Wong,S. J. Juozas Vaišnys;Sigita Plioplys;Kazimieras Plečkaitis;William R. Schmalsteig,StandardOrthTone,Lietuvi;Lietuviskai;Litauische;Litewski;Litovskiy,2007-09-20
197,Latvian,latv1249,Latvian,lav,Eurasia,56.826108,24.309118,Indo-European,Juris Cibuļs,Mary Ritchie Key,,StandardOrth,Lettish,2007-09-20
198,Old Prussian,prus1238,Old Prussian,prg,Eurasia,52.394,14.757,Indo-European,William R. Schmalstieg,William R. Schmalstieg,,StandardOrth,Prussian (Old),2007-09-20
199,Old Church Slavonic,chur1257,Church Slavic,chu,Eurasia,43.7171,22.8442,Indo-European,Mary Ritchie Key,Mary Ritchie Key,,Phonemic,Old Church Slavic;Slavic (Old Church);Slavonic (Old Church),2007-09-20
200,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,43.3646,25.047,Indo-European,Cynthia Vakareliyska;Kevork Horissian,Mary Ritchie Key,,Phonemic,Balgarski,2007-09-20
201,Serbo-Croatian,sout1528,Serbian-Croatian-Bosnian,,Eurasia,44.15,18.81,Indo-European,Andrew R. Corin,Mackayla D. Infante-Wong,,Phonemic,Croatian;Serbian,2007-09-20
202,Czech,czec1258,Czech,ces,Eurasia,49.873398,15.10437,Indo-European,Václav Blažek,Mackayla Infante-Wong,,StandardOrth,Cesky;Česky,2007-09-20
203,Polish,poli1260,Polish,pol,Eurasia,51.8439,18.6255,Indo-European,Stanisław Puppel,Mary Ritchie Key;Mackayla Infante-Wong,,StandardOrth,Polski,2007-09-20
204,Russian,russ1263,Russian,rus,Eurasia,59.0,50.0,Indo-European,Jules F. Levin,Mackayla Infante-Wong,,Phonemic,,2007-09-20
205,Albanian (Tosk variety),tosk1239,Northern Tosk Albanian,als,Eurasia,41.0,20.0,Indo-European,Leonard Newmark,Mary Ritchie Key,,Phonemic,Albanian;Shqip;Shqiperë;Tosk,2007-09-20
206,Armenian (Eastern variety),nucl1235,Eastern Armenian,hye,Eurasia,40.0,45.0,Indo-European,Dora Sakayan,Dora Sakayan,Amalia Khatchatrian,Phonemic,Armenian Eastern;Հայերէն լեզու Hajeren lesu,2007-09-20
207,Armenian (Western variety),homs1234,Western Armenian,hye,Eurasia,40.1897,44.4839,Indo-European,Dora Sakayan,Dora Sakayan,Amalia Khatchatrian,Phonemic,Armenian Western;Հայերէն լեզու Hajeren lesu,2007-09-20
208,Hittite,hitt1242,Hittite,hit,Eurasia,40.0,35.0,Indo-European,Carol F. Justus,Carol F. Justus,,LatinTrans,Nesili;Nesite,2007-09-20
209,Tocharian A,tokh1242,Tokharian A,xto,Eurasia,42.98,89.18,Indo-European,Douglas Q. Adams,Mary Ritchie Key;Mackayla Infante-Wong,,Phonemic,Tocharian;Tokharian,2007-09-27
210,Tocharian B,tokh1243,Tokharian B,txb,Eurasia,41.65,82.9,Indo-European,Douglas Q. Adams,Mary Ritchie Key;Mackayla Infante-Wong,,Phonemic,Tocharian;Tokharian,2007-09-27
211,Sanskrit,sans1269,Sanskrit,san,Eurasia,20.0,77.0,Indo-European,James A. Santucci,James A. Santucci,,LatinTrans,saṃskṛtam;संस्कृतम्,2007-09-27
