ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,representations,date,alt_names
234,Proto Polynesian,,,,poly1242,,Phonemic,2007-10-30,Proto Polynesian
235,Hawaiian,,19.6297,-155.43,hawa1245,haw,Phonemic,2007-10-30,Olelo Hawai'i;'Olelo Hawai'i Makuahine;Hawaiian
236,Maori,,-38.2881,176.541,maor1246,mri,Phonemic,2007-10-30,Maori;New Zealand Maori
237,Marquesan,,-9.75663,-138.979,sout2866,mqm,Phonemic,2007-10-30,Marquesan
238,Rapa Nui,,-27.113,-109.342,rapa1244,rap,Phonemic;Phonemic (vars),2007-10-31,Pascuense;Rapa Nui
239,Rotuman,,-12.5008,177.066,rotu1241,rtm,Phonemic,2007-10-30,Rotuna;Rotuman;Rutuman
240,Tongan,,-21.17,-175.25,tong1325,ton,Phonemic,2007-10-30,Tongan;Tonga
241,Tuamotuan,,-21.709,-140.658,tuam1242,pmt,Phonemic,2007-10-30,Pa'umotu;Tuamotuan
242,Barí,,9.08497,-72.9353,bari1297,mot,Phonemic,2007-10-30,Motilone;Motilón (Chibchan);Bari;Barí;Motilón
243,Muisca,,6.24999,-74.1666,chib1270,chb,LatinTrans;Phonemic,2007-10-30,Chibcha;Muisca;Mosca
244,Páez,,2.61516,-76.3125,paez1247,pbb,Phonemic,2007-10-30,Nasa Yuwe;Paez;Páez
245,Cayapa,,0.71489,-79.0508,chac1249,cbi,Phonemic,2007-10-30,Chachi;Cayapa;Cha' Palaachi
246,Colorado,,-0.21181,-79.2347,colo1256,cof,Phonemic,2007-10-30,Colorado;Tsachila;Tsafiki
247,Embera,,7.12761,-77.574,nort2972,emp,Phonemic,2007-10-30,Cholo;Atrato;Ebera Bedea;Empera;Embera;Emberá;Emberá Northern;Darien;Eerã
248,Epena,,4.25877,-77.3566,epen1239,sja,Phonemic,2007-10-30,Epena Pedee;Epena;Epéna Pedée;Emberá-Saija;Embera-Saija;Saija;Epená;Southern Embera;Southern Empera;Cholo
249,Puinave,,3.92974,-67.6886,puin1248,pui,Phonemic,2007-10-30,Puinabe;Puinave
250,Yuwana,,5.63879,-65.4267,yuwa1244,yau,Phonemic,2007-10-30,Jotí;Joti;Jodi;Hoti;Yoana;Yuana;Waruwaru;Chikano;Chicano;Yuwana
251,Yaruro,,7.10677,-67.5996,pume1238,yae,Phonemic,2007-10-30,Llaruro;Yaruro;Pume;Pumé;Yaruru;Yuapín
252,Ninam (Shirishana variety),,4.03894,-62.7801,nina1238,shb,Phonemic,2007-10-30,Xirianá;Shirishana;Ninam;Shiriana;Yanam;Kasrapai;Jawaperi;Crichana;Jawari
253,Yanomámi,,2.48999,-62.8522,yano1262,wca,Phonemic,2007-10-30,Parahuri;Yanomámi;Yanomami;Yanomamí;Waicá;Waiká;Yanoam;Yanomam;Yanomamé;Yanomame;Surara;Xurima
254,Cofán,,0.276675,-77.0643,cofa1242,con,Phonemic,2007-10-30,Kofane;Cofan;Cofán;A'i;Kofán;Kofan;A'ingae
255,Waorani,,-1.12312,-76.683,waor1240,auc,Phonemic,2007-10-30,Waodani;Sabela;Huao;Huaorani;Waorani
