ID,Name,Description,Contributors
284,Itonama,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
285,Movima,,Robert A. Judy|Author;Mary Ritchie Key|Data Entry
286,Pacaas Novos,,Misión Nuevas Tribus|Author;Mary Ritchie Key|Data Entry
287,Mundurukú,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
288,Aché,,Claudia J. Heckart|Author;Kim Hill|Author;Mary Ritchie Key|Data Entry
289,Chiriguano,,Wolf Dietrich|Author;Mary Ritchie Key|Data Entry
290,Guaraní,,Celsa Dávalos de Céspedes|Author;Natalia Krivoshein de Canese|Author;Mary Ritchie Key|Data Entry
291,Sirionó,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
292,Wayampi,,Françoise Grenand|Author;Raymond Alasuka|Author;Mary Ritchie Key|Data Entry
293,Canela,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
294,Kaingáng,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Ursula Wiesemann|Consultant
295,Karajá,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
296,Trumai,,Aurore Monod-Becquelin|Author;Mary Ritchie Key|Data Entry
297,Ayoreo,,Janet R. Briggs|Author;Mary Ritchie Key|Data Entry
298,Sanapaná (Angaité dialect),,Ruth Sammons|Author;Mary Ritchie Key|Data Entry
299,Sanapaná (Enlhet dialect),,Ernesto Unruh|Author;Hannes Kalisch|Author;Mary Ritchie Key|Data Entry
300,Lengua,,Elizabeth Richards|Author;Timothy Curtis|Author;Mary Ritchie Key|Data Entry
301,Mocoví,,Albert S. Buckwalter|Author;Roberto Ruiz|Author;Mary Ritchie Key|Data Entry
302,Pilagá,,Albert S. Buckwalter|Author;Julio Suárez|Author;Mary Ritchie Key|Data Entry
304,Chorote,,Ana Gerzenstein|Author;Mary Ritchie Key|Data Entry
305,Maca,,Ana Gerzenstein|Author;Mary Ritchie Key|Data Entry
306,Wichí,,José A. Braunstein|Author;Mary Ritchie Key|Data Entry
307,Nivaclé,,Nélida N. Stell|Author;José Seelwische|Author;Mary Ritchie Key|Data Entry
308,Kunza,,Roberto Lehnert Santander|Author;Mary Ritchie Key|Data Entry
309,Mapudungun,,María Catrileo|Author;Ana V. Fernández Garay (Ranquel)|Author;Mary Ritchie Key|Author
310,Tehuelche,,Mary Ritchie Key|Data Entry;Martine Delahaye|Author
311,Selknam,,Elena L. Najlis|Author;Mary Ritchie Key|Data Entry
312,Gününa Küne,,Rodolfo M. Casamiquela|Author;José Pedro Viegas Barros|Author;Mary Ritchie Key|Data Entry;Elena Najlis|Consultant
313,Qawasqar,,Christos Clairis|Author;José Pedro Viegas Barros|Author;Mary Ritchie Key|Data Entry
314,Toba,,Albert S. Buckwalter|Author;Orlando Sánchez|Author;Mary Ritchie Key|Data Entry
315,Yagán,,Ana María Guerra Eissmann|Author;Mary Ritchie Key|Data Entry
316,Andi (Muni dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
